tempStream expectedOffset: 361598, readIncrement: 1025
tempStream expectedOffset: 361944, readIncrement: 1025
tempStream expectedOffset: 362969, readIncrement: 1025
tempStream expectedOffset: 363315, readIncrement: 1025
tempStream expectedOffset: 364340, readIncrement: 1025
tempStream expectedOffset: 364686, readIncrement: 1025
tempStream expectedOffset: 365711, readIncrement: 1025
tempStream expectedOffset: 366057, readIncrement: 1025
tempStream expectedOffset: 367082, readIncrement: 1025
tempStream expectedOffset: 367428, readIncrement: 1025
tempStream expectedOffset: 368453, readIncrement: 1025
tempStream expectedOffset: 368799, readIncrement: 1025
tempStream expectedOffset: 369824, readIncrement: 1025
tempStream expectedOffset: 370170, readIncrement: 1025
tempStream expectedOffset: 371195, readIncrement: 1025
tempStream expectedOffset: 371541, readIncrement: 1025
tempStream expectedOffset: 372566, readIncrement: 1025
tempStream expectedOffset: 372912, readIncrement: 1025
tempStream expectedOffset: 373937, readIncrement: 1025
tempStream expectedOffset: 374283, readIncrement: 1025
tempStream expectedOffset: 375308, readIncrement: 1025
tempStream expectedOffset: 375654, readIncrement: 1025
tempStream expectedOffset: 376679, readIncrement: 1025
tempStream expectedOffset: 377025, readIncrement: 1025
tempStream expectedOffset: 378050, readIncrement: 1025
tempStream expectedOffset: 378396, readIncrement: 1025
tempStream expectedOffset: 379421, readIncrement: 1025
tempStream expectedOffset: 379767, readIncrement: 1025
tempStream expectedOffset: 380792, readIncrement: 1025
tempStream expectedOffset: 381138, readIncrement: 1025
tempStream expectedOffset: 382163, readIncrement: 1025
tempStream expectedOffset: 382509, readIncrement: 1025
tempStream expectedOffset: 383534, readIncrement: 1025
